,PROPERTY_ID,DATE,WiFi Occupants,Workpoint Capacity
324,TWNAKANG,2023-11-23,61,219
325,NRA1933,2023-11-23,0,118
326,CNZGCDBW,2023-11-22,706,1118
327,US151870,2023-11-22,7,227
328,TWNAKANG,2023-11-22,56,219
329,NRA1933,2023-11-22,4,118
330,AUBALLAR,2023-11-22,89,306
331,AUBALLAR,2023-11-21,71,306
332,NRA1933,2023-11-21,16,118
333,CNZGCDBW,2023-11-21,715,1118
334,TWNAKANG,2023-11-21,64,219
335,US151870,2023-11-21,25,227
336,CNZGCDBW,2023-11-20,745,1118
337,AUBALLAR,2023-11-20,62,306
338,NRA1933,2023-11-20,1,118
339,US151870,2023-11-20,23,227
340,TWNAKANG,2023-11-20,42,219
341,TWNAKANG,2023-11-17,34,219
342,AUBALLAR,2023-11-17,14,306
343,NRA1933,2023-11-17,4,118
344,CNZGCDBW,2023-11-17,624,1118
345,US151870,2023-11-17,13,227
346,CNZGCDBW,2023-11-16,680,1118
347,NRA1933,2023-11-16,38,118
348,US151870,2023-11-16,69,227
349,TWNAKANG,2023-11-16,59,219
350,AUBALLAR,2023-11-16,68,306
351,US151870,2023-11-15,67,227
352,AUBALLAR,2023-11-15,32,306
353,TWNAKANG,2023-11-15,52,219
354,NRA1933,2023-11-15,32,118
355,CNZGCDBW,2023-11-15,789,1118
356,AUBALLAR,2023-11-14,88,306
357,CNZGCDBW,2023-11-14,773,1118
358,NRA1933,2023-11-14,36,118
359,US151870,2023-11-14,75,227
360,TWNAKANG,2023-11-14,56,219
361,TWNAKANG,2023-11-13,38,219
362,NRA1933,2023-11-13,2,118
363,AUBALLAR,2023-11-13,54,306
364,US151870,2023-11-13,27,227
365,CNZGCDBW,2023-11-13,725,1118
366,TWNAKANG,2023-11-10,30,219
367,AUBALLAR,2023-11-10,9,306
368,US151870,2023-11-10,15,227
369,CNZGCDBW,2023-11-10,522,1118
370,NRA1933,2023-11-10,1,118
371,TWNAKANG,2023-11-09,58,219
372,CNZGCDBW,2023-11-09,683,1118
373,NRA1933,2023-11-09,39,118
374,US151870,2023-11-09,81,227
375,AUBALLAR,2023-11-09,66,306
376,AUBALLAR,2023-11-08,86,306
377,TWNAKANG,2023-11-08,61,219
378,CNZGCDBW,2023-11-08,737,1118
379,US151870,2023-11-08,65,227
380,NRA1933,2023-11-08,30,118
381,NRA1933,2023-11-07,40,118
382,US151870,2023-11-07,82,227
383,TWNAKANG,2023-11-07,61,219
384,CNZGCDBW,2023-11-07,721,1118
385,AUBALLAR,2023-11-07,52,306
386,TWNAKANG,2023-11-06,44,219
387,AUBALLAR,2023-11-06,10,306
388,NRA1933,2023-11-06,5,118
389,US151870,2023-11-06,23,227
390,CNZGCDBW,2023-11-06,690,1118
391,US151870,2023-11-03,38,227
392,NRA1933,2023-11-03,1,118
393,AUBALLAR,2023-11-03,11,306
394,CNZGCDBW,2023-11-03,509,1118
395,TWNAKANG,2023-11-03,30,219
396,CNZGCDBW,2023-11-02,684,1118
397,NRA1933,2023-11-02,37,118
398,AUBALLAR,2023-11-02,71,306
399,US151870,2023-11-02,87,227
400,TWNAKANG,2023-11-02,60,219
401,TWNAKANG,2023-11-01,58,219
402,NRA1933,2023-11-01,32,118
403,AUBALLAR,2023-11-01,97,306
404,US151870,2023-11-01,48,227
405,CNZGCDBW,2023-11-01,697,1118
406,AUBALLAR,2023-10-31,81,306
407,CNZGCDBW,2023-10-31,750,1118
408,TWNAKANG,2023-10-31,62,219
409,US151870,2023-10-31,69,227
410,NRA1933,2023-10-31,41,118
411,NRA1933,2023-10-30,3,118
412,US151870,2023-10-30,37,227
413,TWNAKANG,2023-10-30,43,219
414,AUBALLAR,2023-10-30,79,306
415,CNZGCDBW,2023-10-30,701,1115
416,AUBALLAR,2023-10-27,12,306
417,TWNAKANG,2023-10-27,23,219
418,US151870,2023-10-27,21,227
419,CNZGCDBW,2023-10-27,533,1114
420,NRA1933,2023-10-27,4,118
421,TWNAKANG,2023-10-26,74,219
422,US151870,2023-10-26,84,227
423,CNZGCDBW,2023-10-26,612,1114
424,AUBALLAR,2023-10-26,63,306
425,NRA1933,2023-10-26,36,118
426,NRA1933,2023-10-25,31,118
427,CNZGCDBW,2023-10-25,916,1114
428,AUBALLAR,2023-10-25,85,306
429,TWNAKANG,2023-10-25,57,219
430,US151870,2023-10-25,53,227
431,US151870,2023-10-24,90,227
432,NRA1933,2023-10-24,44,118
433,CNZGCDBW,2023-10-24,787,1114
434,AUBALLAR,2023-10-24,72,306
435,TWNAKANG,2023-10-24,63,219
436,AUBALLAR,2023-10-23,55,306
437,TWNAKANG,2023-10-23,39,219
438,CNZGCDBW,2023-10-23,778,1114
439,NRA1933,2023-10-23,1,118
440,US151870,2023-10-23,22,227
441,AUBALLAR,2023-10-20,8,306
442,US151870,2023-10-20,20,227
443,CNZGCDBW,2023-10-20,566,1114
444,NRA1933,2023-10-20,1,118
445,TWNAKANG,2023-10-20,33,219
446,TWNAKANG,2023-10-19,63,219
447,US151870,2023-10-19,67,227
448,NRA1933,2023-10-19,35,118
449,AUBALLAR,2023-10-19,72,306
450,CNZGCDBW,2023-10-19,713,1114
451,CNZGCDBW,2023-10-18,781,1114
452,TWNAKANG,2023-10-18,62,219
453,US151870,2023-10-18,95,227
454,NRA1933,2023-10-18,35,118
455,AUBALLAR,2023-10-18,98,306
456,AUBALLAR,2023-10-17,100,306
457,NRA1933,2023-10-17,39,272
458,CNZGCDBW,2023-10-17,790,1132
459,TWNAKANG,2023-10-17,74,219
460,US151870,2023-10-17,104,227
461,TWNAKANG,2023-10-16,41,219
462,US151870,2023-10-16,35,227
463,CNZGCDBW,2023-10-16,737,1132
464,AUBALLAR,2023-10-16,101,306
465,NRA1933,2023-10-16,3,272
466,AUBALLAR,2023-10-13,16,306
467,CNZGCDBW,2023-10-13,541,1132
468,NRA1933,2023-10-13,4,272
469,TWNAKANG,2023-10-13,36,219
470,US151870,2023-10-13,14,227
471,US151870,2023-10-12,84,227
472,TWNAKANG,2023-10-12,70,219
473,NRA1933,2023-10-12,44,272
474,CNZGCDBW,2023-10-12,721,1132
475,AUBALLAR,2023-10-12,74,306
476,NRA1933,2023-10-11,32,272
477,US151870,2023-10-11,71,227
478,CNZGCDBW,2023-10-11,782,1132
479,AUBALLAR,2023-10-11,90,306
480,TWNAKANG,2023-10-11,64,219
481,TWNAKANG,2023-10-10,13,219
482,CNZGCDBW,2023-10-10,749,1131
483,AUBALLAR,2023-10-10,73,306
484,NRA1933,2023-10-10,35,272
485,US151870,2023-10-10,82,227
486,CNZGCDBW,2023-10-09,692,1131
487,NRA1933,2023-10-09,2,272
488,US151870,2023-10-09,24,227
489,AUBALLAR,2023-10-09,67,306
490,TWNAKANG,2023-10-09,13,219
491,CNZGCDBW,2023-10-06,33,1131
492,US151870,2023-10-06,10,227
493,AUBALLAR,2023-10-06,9,306
494,TWNAKANG,2023-10-06,33,219
495,NRA1933,2023-10-06,2,272
496,AUBALLAR,2023-10-05,63,306
497,TWNAKANG,2023-10-05,53,219
498,NRA1933,2023-10-05,38,272
499,US151870,2023-10-05,65,227
500,CNZGCDBW,2023-10-05,30,1131
501,CNZGCDBW,2023-10-04,21,1131
502,NRA1933,2023-10-04,33,272
503,TWNAKANG,2023-10-04,54,219
504,AUBALLAR,2023-10-04,77,306
505,US151870,2023-10-04,75,227
506,NRA1933,2023-10-03,56,272
507,AUBALLAR,2023-10-03,88,306
508,US151870,2023-10-03,75,227
509,TWNAKANG,2023-10-03,66,219
510,CNZGCDBW,2023-10-03,19,1131
511,AUBALLAR,2023-10-02,99,306
512,US151870,2023-10-02,59,227
513,NRA1933,2023-10-02,2,272
514,CNZGCDBW,2023-10-02,23,1131
515,TWNAKANG,2023-10-02,51,219
516,AUBALLAR,2023-09-29,1,306
517,NRA1933,2023-09-29,3,272
518,CNZGCDBW,2023-09-29,27,1131
519,US151870,2023-09-29,11,227
520,TWNAKANG,2023-09-29,11,219
521,US151870,2023-09-28,85,227
522,AUBALLAR,2023-09-28,48,306
523,CNZGCDBW,2023-09-28,386,1131
524,NRA1933,2023-09-28,53,272
525,TWNAKANG,2023-09-28,61,219
526,TWNAKANG,2023-09-27,62,219
527,CNZGCDBW,2023-09-27,674,1131
528,US151870,2023-09-27,49,227
529,NRA1933,2023-09-27,38,272
530,AUBALLAR,2023-09-27,75,306
531,CNZGCDBW,2023-09-26,724,1131
532,US151870,2023-09-26,79,227
533,NRA1933,2023-09-26,49,272
534,AUBALLAR,2023-09-26,76,306
535,TWNAKANG,2023-09-26,80,219
536,US151870,2023-09-25,29,227
537,NRA1933,2023-09-25,1,272
538,AUBALLAR,2023-09-25,69,306
539,TWNAKANG,2023-09-25,46,219
540,CNZGCDBW,2023-09-25,701,1131
541,US151870,2023-09-22,12,227
542,TWNAKANG,2023-09-22,41,219
543,NRA1933,2023-09-22,3,272
544,AUBALLAR,2023-09-22,19,306
545,CNZGCDBW,2023-09-22,380,1131
546,AUBALLAR,2023-09-21,80,306
547,NRA1933,2023-09-21,42,272
548,CNZGCDBW,2023-09-21,675,1131
549,TWNAKANG,2023-09-21,62,219
550,US151870,2023-09-21,91,227
551,US151870,2023-09-20,66,227
552,AUBALLAR,2023-09-20,89,306
553,NRA1933,2023-09-20,41,272
554,TWNAKANG,2023-09-20,62,219
555,CNZGCDBW,2023-09-20,808,1131
556,CNZGCDBW,2023-09-19,862,1131
557,TWNAKANG,2023-09-19,74,219
558,NRA1933,2023-09-19,53,272
559,US151870,2023-09-19,64,227
560,AUBALLAR,2023-09-19,76,306
561,TWNAKANG,2023-09-18,52,219
562,US151870,2023-09-18,20,227
563,AUBALLAR,2023-09-18,71,306
564,CNZGCDBW,2023-09-18,780,1131
565,NRA1933,2023-09-18,3,272
566,AUBALLAR,2023-09-15,11,306
567,NRA1933,2023-09-15,2,272
568,TWNAKANG,2023-09-15,36,219
569,CNZGCDBW,2023-09-15,587,1131
570,US151870,2023-09-15,18,227
571,TWNAKANG,2023-09-14,69,219
572,AUBALLAR,2023-09-14,81,306
573,NRA1933,2023-09-14,48,272
574,US151870,2023-09-14,48,227
575,CNZGCDBW,2023-09-14,712,1135
576,US151870,2023-09-13,64,227
577,AUBALLAR,2023-09-13,101,306
578,NRA1933,2023-09-13,41,272
579,CNZGCDBW,2023-09-13,783,1135
580,TWNAKANG,2023-09-13,74,219
581,AUBALLAR,2023-09-12,76,306
582,NRA1933,2023-09-12,45,272
583,CNZGCDBW,2023-09-12,800,1135
584,US151870,2023-09-12,95,227
585,TWNAKANG,2023-09-12,76,219
586,US151870,2023-09-11,53,227
587,TWNAKANG,2023-09-11,48,219
588,CNZGCDBW,2023-09-11,741,1135
589,NRA1933,2023-09-11,4,272
590,AUBALLAR,2023-09-11,66,306
591,US151870,2023-09-08,11,227
592,NRA1933,2023-09-08,1,272
593,AUBALLAR,2023-09-08,14,306
594,TWNAKANG,2023-09-08,36,219
595,CNZGCDBW,2023-09-08,475,1135
596,TWNAKANG,2023-09-07,63,219
597,US151870,2023-09-07,64,227
598,CNZGCDBW,2023-09-07,720,1135
599,AUBALLAR,2023-09-07,66,306
600,NRA1933,2023-09-07,49,272
601,AUBALLAR,2023-09-06,82,306
602,US151870,2023-09-06,44,227
603,CNZGCDBW,2023-09-06,759,1135
604,TWNAKANG,2023-09-06,62,219
605,NRA1933,2023-09-06,39,272
606,TWNAKANG,2023-09-05,75,219
607,CNZGCDBW,2023-09-05,758,1113
608,US151870,2023-09-05,54,227
609,NRA1933,2023-09-05,40,272
610,AUBALLAR,2023-09-05,83,306
611,NRA1933,2023-09-04,0,272
612,TWNAKANG,2023-09-04,41,219
613,CNZGCDBW,2023-09-04,697,1119
614,AUBALLAR,2023-09-04,69,306
615,NRA1933,2023-09-01,2,272
616,TWNAKANG,2023-09-01,36,219
617,US151870,2023-09-01,10,227
618,AUBALLAR,2023-09-01,14,306
619,CNZGCDBW,2023-09-01,451,1119
620,TWNAKANG,2023-08-31,64,219
621,CNZGCDBW,2023-08-31,525,1119
622,NRA1933,2023-08-31,43,272
623,AUBALLAR,2023-08-31,81,306
624,US151870,2023-08-31,47,227
625,AUBALLAR,2023-08-30,97,306
626,NRA1933,2023-08-30,39,272
627,CNZGCDBW,2023-08-30,612,1105
628,US151870,2023-08-30,25,227
629,TWNAKANG,2023-08-30,93,219
630,CNZGCDBW,2023-08-29,614,1105
631,TWNAKANG,2023-08-29,70,219
632,US151870,2023-08-29,77,227
633,NRA1933,2023-08-29,42,272
634,AUBALLAR,2023-08-29,72,306
635,AUBALLAR,2023-08-28,67,306
636,NRA1933,2023-08-28,1,272
637,TWNAKANG,2023-08-28,54,219
638,CNZGCDBW,2023-08-28,576,1133
639,US151870,2023-08-28,20,227
640,NRA1933,2023-08-25,4,272
641,CNZGCDBW,2023-08-25,447,1133
642,US151870,2023-08-25,7,227
643,TWNAKANG,2023-08-25,42,219
644,AUBALLAR,2023-08-25,11,306
645,US151870,2023-08-24,57,227
646,AUBALLAR,2023-08-24,59,306
647,TWNAKANG,2023-08-24,83,219
648,NRA1933,2023-08-24,48,272
649,CNZGCDBW,2023-08-24,468,1133
650,CNZGCDBW,2023-08-23,573,1133
651,NRA1933,2023-08-23,42,272
652,US151870,2023-08-23,39,227
653,AUBALLAR,2023-08-23,48,306
654,TWNAKANG,2023-08-23,64,219
655,AUBALLAR,2023-08-22,58,306
656,NRA1933,2023-08-22,64,272
657,TWNAKANG,2023-08-22,70,219
658,US151870,2023-08-22,71,227
659,CNZGCDBW,2023-08-22,606,1133
660,US151870,2023-08-21,24,227
661,AUBALLAR,2023-08-21,22,306
662,TWNAKANG,2023-08-21,52,219
663,NRA1933,2023-08-21,1,272
664,CNZGCDBW,2023-08-21,559,1097
665,TWNAKANG,2023-08-18,42,219
666,CNZGCDBW,2023-08-18,317,1097
667,NRA1933,2023-08-18,3,272
668,AUBALLAR,2023-08-18,20,306
669,US151870,2023-08-18,11,227
670,NRA1933,2023-08-17,48,272
671,TWNAKANG,2023-08-17,77,219
672,AUBALLAR,2023-08-17,75,306
673,CNZGCDBW,2023-08-17,534,1097
674,US151870,2023-08-17,60,227
675,US151870,2023-08-16,61,227
676,NRA1933,2023-08-16,43,272
677,CNZGCDBW,2023-08-16,581,1097
678,AUBALLAR,2023-08-16,42,306
679,TWNAKANG,2023-08-16,71,219
680,NRA1933,2023-08-15,52,272
681,CNZGCDBW,2023-08-15,601,1097
682,US151870,2023-08-15,76,227
683,AUBALLAR,2023-08-15,51,306
684,TWNAKANG,2023-08-15,72,219
685,AUBALLAR,2023-08-14,14,306
686,NRA1933,2023-08-14,3,272
687,TWNAKANG,2023-08-14,51,219
688,CNZGCDBW,2023-08-14,508,1097
